id,document,tag,content
9,1867 - CAPTAIN THUNDERBOLT..txt,Newspaper,Maitland Mercury and Hunter River General Advertiser
10,1867 - CAPTAIN THUNDERBOLT..txt,State,NSW
12,1867 - CAPTAIN THUNDERBOLT..txt,Date article was published,Saturday 9 February 1867
13,1867 - CAPTAIN THUNDERBOLT..txt,Newspaper page,page 5
22,1867 - CAPTAIN THUNDERBOLT..txt,Textual Techniques,CAPTAIN THUNDERBOLT.
14,1867 - CAPTAIN THUNDERBOLT..txt,Law Enforcement,police
15,1867 - CAPTAIN THUNDERBOLT..txt,Location,Manilla
16,1867 - CAPTAIN THUNDERBOLT..txt,Item stolen,four hun-dred pounds
17,1867 - CAPTAIN THUNDERBOLT..txt,Victim,mail
19,1867 - CAPTAIN THUNDERBOLT..txt,Textual Techniques,Thunderbolt escaped!
20,1867 - CAPTAIN THUNDERBOLT..txt,Archive stored at,National Library of Australia
321,1988 - Captain Thunderbolt rides again.txt,Newspaper,Canberra Times
322,1988 - Captain Thunderbolt rides again.txt,State,ACT
323,1988 - Captain Thunderbolt rides again.txt,Date article was published,Thursday 10 November 1988
324,1988 - Captain Thunderbolt rides again.txt,Captain Thunderbolt,Captain Thunderbolt
325,1988 - Captain Thunderbolt rides again.txt,Modern Interpretation,"MUSIC-DRAMA” about the relationship between a singing bushranger and his opera-fancying girlfriend opens in Queanbeyan tonight. It is Captain Thunderbolt by local composer Vivien Arnold, who is also the director of the show."
326,1988 - Captain Thunderbolt rides again.txt,Captain Thunderbolt,"Captain Thunderbolt, alias Frederick Ward,"
327,1988 - Captain Thunderbolt rides again.txt,Charming,"habit of singing the Victorian parlour song,"
328,1988 - Captain Thunderbolt rides again.txt,Wife,"Mary Ann Bugg,"
329,1988 - Captain Thunderbolt rides again.txt,Victim,once bailed up a German band and made them play opera numbers.
329,1988 - Captain Thunderbolt rides again.txt,Terrorised,once bailed up a German band and made them play opera numbers.
329,1988 - Captain Thunderbolt rides again.txt,Charming,once bailed up a German band and made them play opera numbers.
